author;affiliation
Swayamdipta, Swabha;University of Southern California
Vianna, Laura;University of Washington
Zhou, Xuhui;Carnegie Mellon University
Choi, Yejin;University of Washington
Smith, Noah A.;University of Washington
Ammanabrolu, Prithviraj;Allen Institute for AI
Jiang, Liwei;University of Washington
Hajishirzi, Hanna;University of Washington
Hartvigsen, Thomas;MIT
Gabriel, Saadia;University of Washington
Palangi, Hamid;Microsoft Research
Ray, Dipankar;Microsoft
Kamar, Ece;Microsoft Research
Hallinan, Skyler;University of Washington
Nguyen, Pemi;University of Washington
Roesner, Franziska;University of Washington
Choi, Eunsol;University of Texas at Austin
Jafarpour, Anna;University of Washington
Pennebaker, James W.;University of Texas at Austin
Horvitz, Eric;Microsoft
Hwang, Jena D.;Allen Institute for AI
Bhagavatula, Chandra;Allen Institute for AI
Ronan, Le Bras;Allen Institute for AI
Borchardt, Jon;Allen Institute for AI
Liang, Jenny;University of Washington
Etzioni, Oren;Allen Institute for AI
Dodge, Jesse;Allen Institute for AI
Marasovi?, Ana;Allen Institute for AI
Agnew, William;University of Washington
Ilharco, Gabriel;University of Washington
Groeneveld, Dirk;Allen Institute for AI
Mitchell, Margaret;Huggingface
Baheti, Ashutosh;Georgia Tech
Ritter, Alan;Georgia Tech
Riedl, Mark;Georgia Tech
Liu, Alisa;University of Washington
Lu, Ximing;University of Washington
Xu, Albert;University of California, Berkeley
Pathak, Eshaan;University of California, Berkeley
Wallace, Eric;University of California, Berkeley
Gururangan, Suchin,University of Washington
Klein, Dan;University of California, Berkeley
Ma, Xinyao;University of Washington
Rashkin, Hannah;Google
Gururangan, Suchin;University of Washington
Shwartz, Vered;University of British Columbia
Qin, Lianhui;University of Washington
Jurafsky, Dan;Stanford University
August, Tal;University of Washington
Clark, Elizabeth;University of Washington
Reinecke, Katharina;University of Washington
